rating,helpfulness,hair_color,brand_name,price_usd,review_length
1,0.9512190222740172,,Algenist,72.0,531
5,1.0,auburn,Algenist,85.0,465
5,1.0,brown,Algenist,84.0,103
4,1.0,auburn,Algenist,85.0,205
5,1.0,red,Algenist,85.0,837
5,1.0,black,Algenist,85.0,124
5,0.6666669845581055,,Algenist,96.0,375
5,0.846153974533081,brown,Algenist,96.0,278
5,,,Algenist,74.0,368
5,0.75,blonde,Algenist,85.0,708
5,0.0,blonde,Algenist,38.0,217
5,0.75,brown,Algenist,58.0,213
2,0.5,brown,Algenist,38.0,251
5,0.6666669845581055,,Algenist,72.0,45
5,0.8947370052337646,brown,Algenist,85.0,406
2,0.5,brown,Algenist,85.0,503
5,1.0,blonde,Algenist,85.0,529
5,0.8888890147209167,,Algenist,74.0,306
5,1.0,blonde,Algenist,38.0,343
2,0.3333329856395721,blonde,Algenist,72.0,275
5,0.842104971408844,brown,Algenist,85.0,448
5,1.0,brown,Algenist,85.0,122
5,1.0,blonde,Algenist,85.0,115
5,0.9230769872665404,,Algenist,70.0,396
5,0.5,red,Algenist,85.0,205
5,0.9333329796791076,blonde,Algenist,85.0,1055
5,0.9333329796791076,blonde,Algenist,98.0,375
2,0.0,brown,Algenist,85.0,244
5,1.0,,Algenist,74.0,258
5,1.0,brown,Algenist,38.0,508
4,0.2857140004634857,brown,Algenist,85.0,153
3,0.8148149847984314,,Algenist,74.0,1011
5,0.6666669845581055,,Algenist,74.0,98
3,0.9230769872665404,auburn,Algenist,25.0,145
5,1.0,brown,Algenist,58.0,1166
5,0.9200000166893004,,Algenist,72.0,432
5,0.75,blonde,Algenist,38.0,452
5,0.3636359870433807,brown,Algenist,70.0,459
5,0.4000000059604645,brown,Algenist,25.0,240
5,0.9545450210571288,brown,Algenist,58.0,1389
5,0.8888890147209167,,Algenist,74.0,301
4,1.0,blonde,Algenist,38.0,287
1,0.800000011920929,,Algenist,74.0,128
5,1.0,,Algenist,74.0,257
2,0.25,brown,Algenist,85.0,523
5,,brown,Algenist,38.0,50
4,0.800000011920929,black,Algenist,38.0,111
3,0.7272729873657227,brown,Algenist,58.0,701
1,0.6923080086708069,brown,Algenist,70.0,158
5,1.0,auburn,Algenist,38.0,131
2,0.6000000238418579,,Algenist,74.0,222
1,0.3333329856395721,blonde,Algenist,70.0,200
5,1.0,brown,Algenist,38.0,484
1,0.7599999904632568,black,Algenist,98.0,664
3,0.5714290142059326,black,Algenist,38.0,107
4,1.0,brown,Algenist,38.0,617
5,0.9444440007209778,,Algenist,58.0,115
5,0.8301889896392822,,Algenist,96.0,249
2,,blonde,Algenist,70.0,156
5,1.0,brown,Algenist,58.0,149
5,1.0,,Algenist,70.0,223
4,1.0,red,Algenist,85.0,447
3,0.800000011920929,brown,Algenist,85.0,571
3,0.0,brown,Algenist,38.0,307
5,0.8846150040626526,brown,Algenist,38.0,461
5,,,Algenist,38.0,358
3,0.6666669845581055,black,Algenist,85.0,84
5,1.0,black,Algenist,85.0,441
4,1.0,brown,Algenist,38.0,185
5,0.7142860293388367,,Algenist,70.0,225
5,0.8999999761581421,,Algenist,74.0,366
5,1.0,brown,Algenist,38.0,386
5,1.0,blonde,Algenist,58.0,235
4,0.5,brown,Algenist,70.0,84
4,,brown,Algenist,58.0,402
5,0.75,brown,Algenist,85.0,892
5,1.0,brown,Algenist,58.0,317
5,1.0,black,Algenist,85.0,199
5,1.0,blonde,Algenist,85.0,350
5,0.875,blonde,Algenist,85.0,1255
5,1.0,auburn,Algenist,58.0,162
3,0.8999999761581421,,Algenist,85.0,222
5,0.9375,brown,Algenist,70.0,655
5,1.0,blonde,Algenist,85.0,375
1,0.9090909957885742,,Algenist,74.0,241
2,0.75,brown,Algenist,58.0,144
4,1.0,brown,Algenist,85.0,516
5,0.699999988079071,blonde,Algenist,72.0,184
2,0.3499999940395355,black,Algenist,70.0,287
5,1.0,brown,Algenist,74.0,224
5,,brown,Algenist,85.0,401
5,0.9200000166893004,,Algenist,70.0,608
3,0.5,brown,Algenist,70.0,368
5,0.6000000238418579,brown,Algenist,70.0,279
2,0.6923080086708069,black,Algenist,58.0,223
1,0.7142860293388367,gray,Algenist,85.0,562
5,,brown,Algenist,85.0,138
4,0.800000011920929,brown,Algenist,85.0,629
5,1.0,brown,Algenist,58.0,226
5,1.0,brown,Algenist,58.0,299
5,1.0,blonde,Algenist,74.0,1124
5,1.0,,Algenist,74.0,692
1,1.0,,Algenist,74.0,152
5,0.800000011920929,brown,Algenist,85.0,328
